noise_type,noise_level,bilateral_filter,median_filter,non_local_means
gaussian,0.05,0.10918524221986062,-1.7829795670734234,-0.5078324713986022
gaussian,0.1,0.6892298597509962,0.38399214855882235,0.7558626270192728
salt_pepper,0.05,0.4944692885091282,0.7587677189666157,0.6484748984196755
salt_pepper,0.1,0.25690795226605256,0.8570928930565198,0.8195193481430973
