noise_type,noise_level,bilateral_filter,median_filter,morphological_denoising,non_local_means,topological_denoising
gaussian,0.01,-9.326486088976027,-8.947536204635794,-20.685668451612457,-23.76650140430588,-15.674860721506603
gaussian,0.03,-2.2710175611491437,-1.8206048948366749,-1.5210502321080703,-4.550413811178914,-1.7215795264602156
gaussian,0.05,-0.8299705264119834,-2.2499821896652543,-1.587154044296164,-1.8711603430348478,-2.0926694739346368
gaussian,0.08,-2.0720171231326607,-1.2296508396561623,-3.519606179445856,-2.924646527583284,-2.8450456053300317
gaussian,0.1,-1.0816692556533674,-0.45564133927234296,-5.235304594945186,-3.747944478931922,-0.8492677524371823
salt_pepper,0.01,-28.48635516354124,-70.10764143671544,-14.650626367680525,-11.221209269785499,-22.387340108079016
salt_pepper,0.03,-0.18777338741235294,-0.3958191980197179,-0.9229702060957878,-1.0964290415033817,-0.5999217478556438
salt_pepper,0.05,0.040011099042481346,-1.427677871056548,-1.1195649331954676,-3.0948320294257026,-2.491396844969324
salt_pepper,0.08,0.04150899037024719,-1.8400779278011095,-3.8760495938567456,-3.653612981414425,-2.5950208106462513
salt_pepper,0.1,0.3342959731070942,-0.081624275907622,-0.5876154061820577,-0.6755100669639901,-0.32907432444940365
