image_name,subfolder,stage,variant,threshold,superlevel,confidence,total_features,betti_0,betti_1,min_persistence,timestamp
Fluoroscent_Red_313_clean,ReportImages,baseline,baseline,0.09803921568627451,True,0.9,9457,8,9449,0.02,2025-11-14T17:38:20.580414
FLuroscent_Green61_clean,ReportImages,baseline,baseline,0.09019607843137255,True,0.9,3107,1,3106,0.02,2025-11-14T17:39:09.381127
Fluroscent_Yellow_clean,ReportImages,baseline,baseline,0.2235294117647059,True,0.9,879,1,878,0.02,2025-11-14T17:39:35.836311
MouseSlice_clean,ReportImages,baseline,baseline,0.4666666666666667,False,0.9,8,3,5,0.06737122312188148,2025-11-14T17:39:58.139526
Zebrafish_clean,ReportImages,baseline,baseline,0.5764705882352941,False,0.9,40,9,31,0.12,2025-11-14T17:40:02.387600
Defungi_H2_1a_6_clean,ReportImages,baseline,baseline,0.4745098039215686,False,0.9,32,10,22,0.02,2025-11-14T17:40:06.151176
Mouserbirn_neuronal_clean,ReportImages,baseline,baseline,0.20784313725490197,True,0.9,396,88,308,0.02,2025-11-14T17:40:11.903416
synthetic_annulus_clean,test,baseline,baseline,0.0,True,0.9,2,1,1,0.02,2025-11-14T17:40:18.755082
