image_name,intensity_betti_0,intensity_betti_1,edt_betti_0,edt_betti_1,method_difference_total,better_method,threshold,superlevel
Fluoroscent_Red_313_salt_pepper_0.10_bilateral_filter,148649,2827,1,3624,0,unknown,0.47843137254901963,True
Fluoroscent_Red_313_salt_pepper_0.10_non_local_means,10363,7782,20,7372,0,unknown,0.12941176470588237,True
Fluoroscent_Red_313_salt_pepper_0.10_topological,10363,7782,20,7372,0,unknown,0.12941176470588237,True
Fluoroscent_Red_313_salt_pepper_0.10_morphological,10363,7782,20,7372,0,unknown,0.12941176470588237,True
FLuroscent_Green61_clean,9396,2577,1,3106,0,unknown,0.09019607843137255,True
FLuroscent_Green61_gaussian_0.01,10224,3307,1,3727,0,unknown,0.08627450980392157,True
FLuroscent_Green61_gaussian_0.03,10241,3285,1,3828,0,unknown,0.08627450980392157,True
FLuroscent_Green61_gaussian_0.05,10257,3311,1,3788,0,unknown,0.08627450980392157,True
FLuroscent_Green61_gaussian_0.08,10304,3324,1,3754,0,unknown,0.08627450980392157,True
FLuroscent_Green61_gaussian_0.10,10221,3317,1,3794,0,unknown,0.08627450980392157,True
FLuroscent_Green61_salt_pepper_0.01,17118,10920,1,0,0,unknown,0.5176470588235295,True
FLuroscent_Green61_salt_pepper_0.03,32538,28446,1,14,0,unknown,0.4588235294117647,True
FLuroscent_Green61_salt_pepper_0.05,43969,44156,1,141,0,unknown,0.5176470588235295,True
FLuroscent_Green61_salt_pepper_0.08,62305,37716,1,814,0,unknown,0.5176470588235295,True
FLuroscent_Green61_salt_pepper_0.10,73362,55,1,1818,0,unknown,0.5176470588235295,True
FLuroscent_Green61_gaussian_0.01_median_filter,2810,717,1,1861,0,unknown,0.09019607843137255,True
FLuroscent_Green61_gaussian_0.01_bilateral_filter,2363,619,1,1376,0,unknown,0.09411764705882353,True
FLuroscent_Green61_gaussian_0.01_non_local_means,1240,311,1,1109,0,unknown,0.08627450980392157,True
FLuroscent_Green61_gaussian_0.01_topological,1240,311,1,1109,0,unknown,0.08627450980392157,True
FLuroscent_Green61_gaussian_0.01_morphological,1240,311,1,1109,0,unknown,0.08627450980392157,True
FLuroscent_Green61_gaussian_0.03_median_filter,2801,704,1,1872,0,unknown,0.09019607843137255,True
FLuroscent_Green61_gaussian_0.03_bilateral_filter,2359,627,1,1381,0,unknown,0.09411764705882353,True
FLuroscent_Green61_gaussian_0.03_non_local_means,1245,320,1,1109,0,unknown,0.08627450980392157,True
FLuroscent_Green61_gaussian_0.03_topological,1245,320,1,1109,0,unknown,0.08627450980392157,True
FLuroscent_Green61_gaussian_0.03_morphological,1245,320,1,1109,0,unknown,0.08627450980392157,True
FLuroscent_Green61_gaussian_0.05_median_filter,2773,712,1,1842,0,unknown,0.09019607843137255,True
FLuroscent_Green61_gaussian_0.05_bilateral_filter,2361,613,1,1383,0,unknown,0.09411764705882353,True
FLuroscent_Green61_gaussian_0.05_non_local_means,1239,315,1,1106,0,unknown,0.08627450980392157,True
FLuroscent_Green61_gaussian_0.05_topological,1239,315,1,1106,0,unknown,0.08627450980392157,True
FLuroscent_Green61_gaussian_0.05_morphological,1239,315,1,1106,0,unknown,0.08627450980392157,True
FLuroscent_Green61_gaussian_0.08_median_filter,2802,694,1,1847,0,unknown,0.09019607843137255,True
FLuroscent_Green61_gaussian_0.08_bilateral_filter,2370,614,1,1383,0,unknown,0.09411764705882353,True
FLuroscent_Green61_gaussian_0.08_non_local_means,1242,309,1,1107,0,unknown,0.08627450980392157,True
FLuroscent_Green61_gaussian_0.08_topological,1242,309,1,1107,0,unknown,0.08627450980392157,True
FLuroscent_Green61_gaussian_0.08_morphological,1242,309,1,1107,0,unknown,0.08627450980392157,True
FLuroscent_Green61_gaussian_0.10_median_filter,2788,701,1,1848,0,unknown,0.09019607843137255,True
FLuroscent_Green61_gaussian_0.10_bilateral_filter,2355,608,1,1372,0,unknown,0.09411764705882353,True
FLuroscent_Green61_gaussian_0.10_non_local_means,1239,314,1,1111,0,unknown,0.08627450980392157,True
FLuroscent_Green61_gaussian_0.10_topological,1239,314,1,1111,0,unknown,0.08627450980392157,True
FLuroscent_Green61_gaussian_0.10_morphological,1239,314,1,1111,0,unknown,0.08627450980392157,True
FLuroscent_Green61_salt_pepper_0.01_median_filter,2877,701,1,1638,0,unknown,0.09411764705882353,True
FLuroscent_Green61_salt_pepper_0.01_bilateral_filter,10645,938,1,0,0,unknown,0.34901960784313724,True
FLuroscent_Green61_salt_pepper_0.01_non_local_means,1373,442,1,1070,0,unknown,0.09411764705882353,True
FLuroscent_Green61_salt_pepper_0.01_topological,1373,442,1,1070,0,unknown,0.09411764705882353,True
FLuroscent_Green61_salt_pepper_0.01_morphological,1373,442,1,1070,0,unknown,0.09411764705882353,True
FLuroscent_Green61_salt_pepper_0.03_median_filter,2876,702,1,1657,0,unknown,0.09411764705882353,True
FLuroscent_Green61_salt_pepper_0.03_bilateral_filter,27177,1620,1,14,0,unknown,0.34901960784313724,True
FLuroscent_Green61_salt_pepper_0.03_non_local_means,1739,801,5948,8858,0,unknown,0.07058823529411765,True
FLuroscent_Green61_salt_pepper_0.03_topological,1739,801,5948,8858,0,unknown,0.07058823529411765,True
FLuroscent_Green61_salt_pepper_0.03_morphological,1739,801,5948,8858,0,unknown,0.07058823529411765,True
FLuroscent_Green61_salt_pepper_0.05_median_filter,2888,706,1,1669,0,unknown,0.09411764705882353,True
FLuroscent_Green61_salt_pepper_0.05_bilateral_filter,42236,2271,1,141,0,unknown,0.34901960784313724,True
FLuroscent_Green61_salt_pepper_0.05_non_local_means,2168,1345,2792,11805,0,unknown,0.08235294117647059,True
FLuroscent_Green61_salt_pepper_0.05_topological,2168,1345,2792,11805,0,unknown,0.08235294117647059,True
FLuroscent_Green61_salt_pepper_0.05_morphological,2168,1345,2792,11805,0,unknown,0.08235294117647059,True
FLuroscent_Green61_salt_pepper_0.08_median_filter,2886,707,1,1645,0,unknown,0.09411764705882353,True
FLuroscent_Green61_salt_pepper_0.08_bilateral_filter,62157,477,1,814,0,unknown,0.34901960784313724,True
FLuroscent_Green61_salt_pepper_0.08_non_local_means,2964,2216,3186,13692,0,unknown,0.09411764705882353,True
FLuroscent_Green61_salt_pepper_0.08_topological,2964,2216,3186,13692,0,unknown,0.09411764705882353,True
FLuroscent_Green61_salt_pepper_0.08_morphological,2964,2216,3186,13692,0,unknown,0.09411764705882353,True
FLuroscent_Green61_salt_pepper_0.10_median_filter,2921,711,1,1637,0,unknown,0.09411764705882353,True
FLuroscent_Green61_salt_pepper_0.10_bilateral_filter,73451,95,1,1818,0,unknown,0.34509803921568627,True
FLuroscent_Green61_salt_pepper_0.10_non_local_means,3323,2832,2509,14391,0,unknown,0.10196078431372549,True
FLuroscent_Green61_salt_pepper_0.10_topological,3323,2832,2509,14391,0,unknown,0.10196078431372549,True
FLuroscent_Green61_salt_pepper_0.10_morphological,3323,2832,2509,14391,0,unknown,0.10196078431372549,True
Fluroscent_Yellow_clean,9367,4,1,878,0,unknown,0.2235294117647059,True
Fluroscent_Yellow_gaussian_0.01,9594,41,1,873,0,unknown,0.2196078431372549,True
Fluroscent_Yellow_gaussian_0.03,9570,40,1,860,0,unknown,0.2196078431372549,True
