image_name,intensity_b0,intensity_b1,edt_b0,edt_b1
B_two_disks_salt_pepper_0.08_median_filter,1,0,1,1
B_two_disks_salt_pepper_0.08_bilateral_filter,6076,2505,1,2
B_two_disks_salt_pepper_0.08_non_local_means,25,7,1,2
B_two_disks_salt_pepper_0.08_topological,25,7,1,2
B_two_disks_salt_pepper_0.08_morphological,25,7,1,2
B_two_disks_salt_pepper_0.10_median_filter,1,0,1,1
B_two_disks_salt_pepper_0.10_bilateral_filter,7135,3134,1,5
B_two_disks_salt_pepper_0.10_non_local_means,36,13,1,2
B_two_disks_salt_pepper_0.10_topological,36,13,1,2
B_two_disks_salt_pepper_0.10_morphological,36,13,1,2
C_single_ring_clean,1,1,1,1
C_single_ring_gaussian_0.01,1,1,1,1
C_single_ring_gaussian_0.03,1,1,1,1
C_single_ring_gaussian_0.05,1,1,2,40
C_single_ring_gaussian_0.08,1,1,2,40
C_single_ring_gaussian_0.10,1,1,2,41
C_single_ring_salt_pepper_0.01,998,245,1,1
C_single_ring_salt_pepper_0.03,2879,762,1,1
C_single_ring_salt_pepper_0.05,4556,1215,1,1
C_single_ring_salt_pepper_0.08,6604,1861,1,1
C_single_ring_salt_pepper_0.10,7952,2222,1,1
C_single_ring_gaussian_0.01_median_filter,1,1,1,1
C_single_ring_gaussian_0.01_bilateral_filter,1,1,2,56
C_single_ring_gaussian_0.01_non_local_means,1,1,2,56
C_single_ring_gaussian_0.01_topological,1,1,2,56
C_single_ring_gaussian_0.01_morphological,1,1,2,56
C_single_ring_gaussian_0.03_median_filter,1,1,1,1
C_single_ring_gaussian_0.03_bilateral_filter,1,1,2,56
C_single_ring_gaussian_0.03_non_local_means,1,1,2,56
C_single_ring_gaussian_0.03_topological,1,1,2,56
C_single_ring_gaussian_0.03_morphological,1,1,2,56
C_single_ring_gaussian_0.05_median_filter,1,1,1,1
C_single_ring_gaussian_0.05_bilateral_filter,1,1,2,56
C_single_ring_gaussian_0.05_non_local_means,1,1,2,56
C_single_ring_gaussian_0.05_topological,1,1,2,56
C_single_ring_gaussian_0.05_morphological,1,1,2,56
C_single_ring_gaussian_0.08_median_filter,1,1,2,40
C_single_ring_gaussian_0.08_bilateral_filter,1,1,2,56
C_single_ring_gaussian_0.08_non_local_means,1,1,2,56
C_single_ring_gaussian_0.08_topological,1,1,2,56
C_single_ring_gaussian_0.08_morphological,1,1,2,56
C_single_ring_gaussian_0.10_median_filter,1,1,2,41
C_single_ring_gaussian_0.10_bilateral_filter,1,1,2,55
C_single_ring_gaussian_0.10_non_local_means,1,1,2,56
C_single_ring_gaussian_0.10_topological,1,1,2,56
C_single_ring_gaussian_0.10_morphological,1,1,2,56
C_single_ring_salt_pepper_0.01_median_filter,1,1,1,1
C_single_ring_salt_pepper_0.01_bilateral_filter,998,245,2,37
C_single_ring_salt_pepper_0.01_non_local_means,1,1,2,82
