image_name,intensity_b0,intensity_b1,edt_b0,edt_b1
16_512v_clean,5688,5110,642,2474
16_512v_gaussian_0.01,5675,5143,658,2481
16_512v_gaussian_0.03,5703,5132,665,2479
16_512v_gaussian_0.05,5717,5178,662,2476
16_512v_gaussian_0.08,5692,5159,652,2486
16_512v_gaussian_0.10,5695,5142,658,2482
16_512v_salt_pepper_0.01,6755,6308,600,2468
16_512v_salt_pepper_0.03,8239,7767,448,2430
16_512v_salt_pepper_0.05,9181,8340,290,2375
16_512v_salt_pepper_0.08,10936,4158,102,2310
16_512v_salt_pepper_0.10,11798,3394,69,2183
16_512v_gaussian_0.01_median_filter,2843,2047,694,2122
16_512v_gaussian_0.01_bilateral_filter,2233,1642,794,1723
16_512v_gaussian_0.01_non_local_means,731,300,73,602
16_512v_gaussian_0.01_topological,731,300,73,602
16_512v_gaussian_0.01_morphological,731,300,73,602
16_512v_gaussian_0.03_median_filter,2822,2028,712,2138
16_512v_gaussian_0.03_bilateral_filter,2223,1649,800,1724
16_512v_gaussian_0.03_non_local_means,730,300,73,604
16_512v_gaussian_0.03_topological,730,300,73,604
16_512v_gaussian_0.03_morphological,730,300,73,604
16_512v_gaussian_0.05_median_filter,2856,2017,717,2143
16_512v_gaussian_0.05_bilateral_filter,2231,1646,790,1722
16_512v_gaussian_0.05_non_local_means,732,300,73,603
16_512v_gaussian_0.05_topological,732,300,73,603
16_512v_gaussian_0.05_morphological,732,300,73,603
16_512v_gaussian_0.08_median_filter,2844,2017,716,2132
16_512v_gaussian_0.08_bilateral_filter,2230,1644,794,1728
16_512v_gaussian_0.08_non_local_means,730,298,73,604
16_512v_gaussian_0.08_topological,730,298,73,604
16_512v_gaussian_0.08_morphological,730,298,73,604
16_512v_gaussian_0.10_median_filter,2843,2029,723,2128
16_512v_gaussian_0.10_bilateral_filter,2225,1643,798,1722
16_512v_gaussian_0.10_non_local_means,731,301,73,604
16_512v_gaussian_0.10_topological,731,301,73,604
16_512v_gaussian_0.10_morphological,731,301,73,604
16_512v_salt_pepper_0.01_median_filter,2853,2029,712,2152
16_512v_salt_pepper_0.01_bilateral_filter,3399,1744,770,1698
16_512v_salt_pepper_0.01_non_local_means,721,292,39,531
16_512v_salt_pepper_0.01_topological,721,292,39,531
16_512v_salt_pepper_0.01_morphological,721,292,39,531
16_512v_salt_pepper_0.03_median_filter,2878,2070,713,2150
16_512v_salt_pepper_0.03_bilateral_filter,5649,1943,697,1771
16_512v_salt_pepper_0.03_non_local_means,734,307,25,515
16_512v_salt_pepper_0.03_topological,734,307,25,515
16_512v_salt_pepper_0.03_morphological,734,307,25,515
16_512v_salt_pepper_0.05_median_filter,2882,2077,723,2100
16_512v_salt_pepper_0.05_bilateral_filter,7669,2243,580,1953
16_512v_salt_pepper_0.05_non_local_means,735,303,32,519
16_512v_salt_pepper_0.05_topological,735,303,32,519
16_512v_salt_pepper_0.05_morphological,735,303,32,519
16_512v_salt_pepper_0.08_median_filter,2944,2076,732,2135
16_512v_salt_pepper_0.08_bilateral_filter,9897,1848,177,1765
16_512v_salt_pepper_0.08_non_local_means,741,336,60,638
16_512v_salt_pepper_0.08_topological,741,336,60,638
16_512v_salt_pepper_0.08_morphological,741,336,60,638
16_512v_salt_pepper_0.10_median_filter,2969,2068,741,2129
16_512v_salt_pepper_0.10_bilateral_filter,11148,1487,14,1203
16_512v_salt_pepper_0.10_non_local_means,705,326,72,595
16_512v_salt_pepper_0.10_topological,705,326,72,595
16_512v_salt_pepper_0.10_morphological,705,326,72,595
ccdb17_512_clean,5769,2014,50,1566
ccdb17_512_gaussian_0.01,5805,2096,51,1541
ccdb17_512_gaussian_0.03,5813,2116,48,1551
ccdb17_512_gaussian_0.05,5816,2119,46,1564
ccdb17_512_gaussian_0.08,5832,2106,47,1558
ccdb17_512_gaussian_0.10,5791,2130,48,1550
ccdb17_512_salt_pepper_0.01,6897,3336,20,1417
ccdb17_512_salt_pepper_0.03,8609,5611,11,1204
ccdb17_512_salt_pepper_0.05,9607,7480,6,1146
ccdb17_512_salt_pepper_0.08,11245,1675,2,1123
ccdb17_512_salt_pepper_0.10,12446,900,1,1161
ccdb17_512_gaussian_0.01_median_filter,2996,556,57,1448
ccdb17_512_gaussian_0.01_bilateral_filter,2098,542,105,1198
ccdb17_512_gaussian_0.01_non_local_means,789,139,92,509
ccdb17_512_gaussian_0.01_topological,789,139,92,509
ccdb17_512_gaussian_0.01_morphological,789,139,92,509
ccdb17_512_gaussian_0.03_median_filter,3005,541,63,1444
ccdb17_512_gaussian_0.03_bilateral_filter,2107,538,103,1205
ccdb17_512_gaussian_0.03_non_local_means,789,139,92,509
ccdb17_512_gaussian_0.03_topological,789,139,92,509
ccdb17_512_gaussian_0.03_morphological,789,139,92,509
ccdb17_512_gaussian_0.05_median_filter,3004,538,62,1446
ccdb17_512_gaussian_0.05_bilateral_filter,2106,542,102,1207
ccdb17_512_gaussian_0.05_non_local_means,788,138,92,508
ccdb17_512_gaussian_0.05_topological,788,138,92,508
ccdb17_512_gaussian_0.05_morphological,788,138,92,508
ccdb17_512_gaussian_0.08_median_filter,2996,542,62,1464
ccdb17_512_gaussian_0.08_bilateral_filter,2106,543,104,1198
ccdb17_512_gaussian_0.08_non_local_means,787,140,92,508
ccdb17_512_gaussian_0.08_topological,787,140,92,508
ccdb17_512_gaussian_0.08_morphological,787,140,92,508
ccdb17_512_gaussian_0.10_median_filter,2990,557,63,1446
ccdb17_512_gaussian_0.10_bilateral_filter,2103,543,102,1206
ccdb17_512_gaussian_0.10_non_local_means,785,139,92,509
ccdb17_512_gaussian_0.10_topological,785,139,92,509
ccdb17_512_gaussian_0.10_morphological,785,139,92,509
ccdb17_512_salt_pepper_0.01_median_filter,2982,538,60,1453
ccdb17_512_salt_pepper_0.01_bilateral_filter,3327,574,56,1198
ccdb17_512_salt_pepper_0.01_non_local_means,794,155,87,501
ccdb17_512_salt_pepper_0.01_topological,794,155,87,501
ccdb17_512_salt_pepper_0.01_morphological,794,155,87,501
ccdb17_512_salt_pepper_0.03_median_filter,3013,556,60,1466
ccdb17_512_salt_pepper_0.03_bilateral_filter,5693,652,22,1028
ccdb17_512_salt_pepper_0.03_non_local_means,794,168,93,506
ccdb17_512_salt_pepper_0.03_topological,794,168,93,506
ccdb17_512_salt_pepper_0.03_morphological,794,168,93,506
ccdb17_512_salt_pepper_0.05_median_filter,3033,542,58,1440
ccdb17_512_salt_pepper_0.05_bilateral_filter,7887,743,11,920
ccdb17_512_salt_pepper_0.05_non_local_means,807,266,86,506
ccdb17_512_salt_pepper_0.05_topological,807,266,86,506
ccdb17_512_salt_pepper_0.05_morphological,807,266,86,506
ccdb17_512_salt_pepper_0.08_median_filter,3043,550,58,1440
ccdb17_512_salt_pepper_0.08_bilateral_filter,10347,630,3,952
ccdb17_512_salt_pepper_0.08_non_local_means,930,328,88,517
ccdb17_512_salt_pepper_0.08_topological,930,328,88,517
ccdb17_512_salt_pepper_0.08_morphological,930,328,88,517
ccdb17_512_salt_pepper_0.10_median_filter,3051,568,52,1459
ccdb17_512_salt_pepper_0.10_bilateral_filter,11860,373,1,920
ccdb17_512_salt_pepper_0.10_non_local_means,936,441,98,525
ccdb17_512_salt_pepper_0.10_topological,936,441,98,525
ccdb17_512_salt_pepper_0.10_morphological,936,441,98,525
