image_name,intensity_b0,intensity_b1,edt_b0,edt_b1
ccdb3687_512_clean,2808,4542,88,308
ccdb3687_512_gaussian_0.01,2825,4517,88,318
ccdb3687_512_gaussian_0.03,2820,4522,90,312
ccdb3687_512_gaussian_0.05,2810,4516,89,310
ccdb3687_512_gaussian_0.08,2820,4526,89,317
ccdb3687_512_gaussian_0.10,2829,4526,91,316
ccdb3687_512_salt_pepper_0.01,3914,4922,75,312
ccdb3687_512_salt_pepper_0.03,5961,5630,11,229
ccdb3687_512_salt_pepper_0.05,6774,3407,2,174
ccdb3687_512_salt_pepper_0.08,9189,3349,1,172
ccdb3687_512_salt_pepper_0.10,10370,2806,1,229
ccdb3687_512_gaussian_0.01_median_filter,392,356,75,272
ccdb3687_512_gaussian_0.01_bilateral_filter,271,420,49,129
ccdb3687_512_gaussian_0.01_non_local_means,11,6,3,4
ccdb3687_512_gaussian_0.01_topological,11,6,3,4
ccdb3687_512_gaussian_0.01_morphological,11,6,3,4
ccdb3687_512_gaussian_0.03_median_filter,379,359,72,275
ccdb3687_512_gaussian_0.03_bilateral_filter,271,420,48,133
ccdb3687_512_gaussian_0.03_non_local_means,11,6,3,4
ccdb3687_512_gaussian_0.03_topological,11,6,3,4
ccdb3687_512_gaussian_0.03_morphological,11,6,3,4
ccdb3687_512_gaussian_0.05_median_filter,390,354,74,263
ccdb3687_512_gaussian_0.05_bilateral_filter,272,418,47,132
ccdb3687_512_gaussian_0.05_non_local_means,11,6,3,5
ccdb3687_512_gaussian_0.05_topological,11,6,3,5
ccdb3687_512_gaussian_0.05_morphological,11,6,3,5
ccdb3687_512_gaussian_0.08_median_filter,381,362,74,274
ccdb3687_512_gaussian_0.08_bilateral_filter,267,417,48,133
ccdb3687_512_gaussian_0.08_non_local_means,11,5,3,5
ccdb3687_512_gaussian_0.08_topological,11,5,3,5
ccdb3687_512_gaussian_0.08_morphological,11,5,3,5
ccdb3687_512_gaussian_0.10_median_filter,387,355,73,264
ccdb3687_512_gaussian_0.10_bilateral_filter,271,421,49,133
ccdb3687_512_gaussian_0.10_non_local_means,11,6,3,5
ccdb3687_512_gaussian_0.10_topological,11,6,3,5
ccdb3687_512_gaussian_0.10_morphological,11,6,3,5
ccdb3687_512_salt_pepper_0.01_median_filter,399,362,73,277
ccdb3687_512_salt_pepper_0.01_bilateral_filter,1512,514,45,155
ccdb3687_512_salt_pepper_0.01_non_local_means,7,7,4,6
ccdb3687_512_salt_pepper_0.01_topological,7,7,4,6
ccdb3687_512_salt_pepper_0.01_morphological,7,7,4,6
ccdb3687_512_salt_pepper_0.03_median_filter,406,376,73,267
ccdb3687_512_salt_pepper_0.03_bilateral_filter,3819,661,1,128
ccdb3687_512_salt_pepper_0.03_non_local_means,10,7,4,6
ccdb3687_512_salt_pepper_0.03_topological,10,7,4,6
ccdb3687_512_salt_pepper_0.03_morphological,10,7,4,6
ccdb3687_512_salt_pepper_0.05_median_filter,427,369,74,265
ccdb3687_512_salt_pepper_0.05_bilateral_filter,5885,800,1,99
ccdb3687_512_salt_pepper_0.05_non_local_means,25,6,2,6
ccdb3687_512_salt_pepper_0.05_topological,25,6,2,6
ccdb3687_512_salt_pepper_0.05_morphological,25,6,2,6
ccdb3687_512_salt_pepper_0.08_median_filter,461,379,72,261
ccdb3687_512_salt_pepper_0.08_bilateral_filter,8528,577,1,117
ccdb3687_512_salt_pepper_0.08_non_local_means,35,11,4,8
ccdb3687_512_salt_pepper_0.08_topological,35,11,4,8
ccdb3687_512_salt_pepper_0.08_morphological,35,11,4,8
ccdb3687_512_salt_pepper_0.10_median_filter,485,398,64,237
ccdb3687_512_salt_pepper_0.10_bilateral_filter,10018,480,1,159
ccdb3687_512_salt_pepper_0.10_non_local_means,31,19,2,5
ccdb3687_512_salt_pepper_0.10_topological,31,19,2,5
ccdb3687_512_salt_pepper_0.10_morphological,31,19,2,5
ccdb3_512_clean,6283,2973,287,2350
ccdb3_512_gaussian_0.01,6292,2891,300,2322
ccdb3_512_gaussian_0.03,6302,2913,306,2381
ccdb3_512_gaussian_0.05,6317,2894,291,2371
ccdb3_512_gaussian_0.08,6296,2911,314,2359
ccdb3_512_gaussian_0.10,6308,2915,304,2339
ccdb3_512_salt_pepper_0.01,6502,2691,13,1705
ccdb3_512_salt_pepper_0.03,6615,1889,1,260
ccdb3_512_salt_pepper_0.05,7242,1441,1,216
ccdb3_512_salt_pepper_0.08,8593,909,1,258
ccdb3_512_salt_pepper_0.10,9500,665,1,382
ccdb3_512_gaussian_0.01_median_filter,2622,1019,259,2088
ccdb3_512_gaussian_0.01_bilateral_filter,1739,658,200,1396
ccdb3_512_gaussian_0.01_non_local_means,464,102,228,704
ccdb3_512_gaussian_0.01_topological,464,102,228,704
ccdb3_512_gaussian_0.01_morphological,464,102,228,704
ccdb3_512_gaussian_0.03_median_filter,2632,1018,260,2087
ccdb3_512_gaussian_0.03_bilateral_filter,1741,659,196,1383
ccdb3_512_gaussian_0.03_non_local_means,466,101,228,698
ccdb3_512_gaussian_0.03_topological,466,101,228,698
ccdb3_512_gaussian_0.03_morphological,466,101,228,698
ccdb3_512_gaussian_0.05_median_filter,2656,1031,258,2070
ccdb3_512_gaussian_0.05_bilateral_filter,1746,656,197,1399
ccdb3_512_gaussian_0.05_non_local_means,464,100,228,696
ccdb3_512_gaussian_0.05_topological,464,100,228,696
ccdb3_512_gaussian_0.05_morphological,464,100,228,696
ccdb3_512_gaussian_0.08_median_filter,2629,1012,268,2098
ccdb3_512_gaussian_0.08_bilateral_filter,1743,655,196,1387
ccdb3_512_gaussian_0.08_non_local_means,465,102,229,703
ccdb3_512_gaussian_0.08_topological,465,102,229,703
ccdb3_512_gaussian_0.08_morphological,465,102,229,703
ccdb3_512_gaussian_0.10_median_filter,2650,1015,255,2079
ccdb3_512_gaussian_0.10_bilateral_filter,1743,659,188,1391
ccdb3_512_gaussian_0.10_non_local_means,465,100,228,696
ccdb3_512_gaussian_0.10_topological,465,100,228,696
ccdb3_512_gaussian_0.10_morphological,465,100,228,696
ccdb3_512_salt_pepper_0.01_median_filter,2643,1027,279,2070
ccdb3_512_salt_pepper_0.01_bilateral_filter,2647,703,1,333
ccdb3_512_salt_pepper_0.01_non_local_means,469,101,200,705
ccdb3_512_salt_pepper_0.01_topological,469,101,200,705
ccdb3_512_salt_pepper_0.01_morphological,469,101,200,705
ccdb3_512_salt_pepper_0.03_median_filter,2654,1038,279,2017
ccdb3_512_salt_pepper_0.03_bilateral_filter,4389,764,1,235
ccdb3_512_salt_pepper_0.03_non_local_means,468,124,264,711
ccdb3_512_salt_pepper_0.03_topological,468,124,264,711
ccdb3_512_salt_pepper_0.03_morphological,468,124,264,711
ccdb3_512_salt_pepper_0.05_median_filter,2718,1035,296,2059
ccdb3_512_salt_pepper_0.05_bilateral_filter,6030,849,1,222
ccdb3_512_salt_pepper_0.05_non_local_means,516,257,250,724
ccdb3_512_salt_pepper_0.05_topological,516,257,250,724
ccdb3_512_salt_pepper_0.05_morphological,516,257,250,724
ccdb3_512_salt_pepper_0.08_median_filter,2719,1058,287,2050
ccdb3_512_salt_pepper_0.08_bilateral_filter,7863,548,1,265
ccdb3_512_salt_pepper_0.08_non_local_means,565,311,188,689
ccdb3_512_salt_pepper_0.08_topological,565,311,188,689
ccdb3_512_salt_pepper_0.08_morphological,565,311,188,689
ccdb3_512_salt_pepper_0.10_median_filter,2766,1073,290,2071
ccdb3_512_salt_pepper_0.10_bilateral_filter,9002,266,1,382
ccdb3_512_salt_pepper_0.10_non_local_means,639,396,208,714
ccdb3_512_salt_pepper_0.10_topological,639,396,208,714
ccdb3_512_salt_pepper_0.10_morphological,639,396,208,714
ccdb4_512_clean,3707,3401,71,489
ccdb4_512_gaussian_0.01,3762,3581,69,495
ccdb4_512_gaussian_0.03,3793,3510,71,504
ccdb4_512_gaussian_0.05,3805,3555,74,509
ccdb4_512_gaussian_0.08,3816,3543,71,484
ccdb4_512_gaussian_0.10,3785,3566,73,492
ccdb4_512_salt_pepper_0.01,5482,4913,2,289
ccdb4_512_salt_pepper_0.03,9720,9641,1,82
ccdb4_512_salt_pepper_0.05,14383,15182,1,84
ccdb4_512_salt_pepper_0.08,20873,17232,1,159
ccdb4_512_salt_pepper_0.10,24746,8443,1,245
ccdb4_512_gaussian_0.01_median_filter,591,325,55,381
ccdb4_512_gaussian_0.01_bilateral_filter,344,212,45,253
ccdb4_512_gaussian_0.01_non_local_means,17,18,10,23
ccdb4_512_gaussian_0.01_topological,17,18,10,23
ccdb4_512_gaussian_0.01_morphological,17,18,10,23
ccdb4_512_gaussian_0.03_median_filter,589,324,54,385
ccdb4_512_gaussian_0.03_bilateral_filter,346,211,44,254
ccdb4_512_gaussian_0.03_non_local_means,17,18,10,22
ccdb4_512_gaussian_0.03_topological,17,18,10,22
ccdb4_512_gaussian_0.03_morphological,17,18,10,22
ccdb4_512_gaussian_0.05_median_filter,590,326,54,369
ccdb4_512_gaussian_0.05_bilateral_filter,345,210,45,253
ccdb4_512_gaussian_0.05_non_local_means,17,18,10,22
ccdb4_512_gaussian_0.05_topological,17,18,10,22
ccdb4_512_gaussian_0.05_morphological,17,18,10,22
ccdb4_512_gaussian_0.08_median_filter,599,317,57,369
ccdb4_512_gaussian_0.08_bilateral_filter,346,213,44,247
ccdb4_512_gaussian_0.08_non_local_means,17,18,10,22
ccdb4_512_gaussian_0.08_topological,17,18,10,22
ccdb4_512_gaussian_0.08_morphological,17,18,10,22
ccdb4_512_gaussian_0.10_median_filter,601,323,55,382
ccdb4_512_gaussian_0.10_bilateral_filter,347,212,46,251
ccdb4_512_gaussian_0.10_non_local_means,17,18,10,22
ccdb4_512_gaussian_0.10_topological,17,18,10,22
ccdb4_512_gaussian_0.10_morphological,17,18,10,22
ccdb4_512_salt_pepper_0.01_median_filter,599,326,54,371
ccdb4_512_salt_pepper_0.01_bilateral_filter,3360,262,21,218
ccdb4_512_salt_pepper_0.01_non_local_means,20,17,13,18
ccdb4_512_salt_pepper_0.01_topological,20,17,13,18
ccdb4_512_salt_pepper_0.01_morphological,20,17,13,18
ccdb4_512_salt_pepper_0.03_median_filter,603,333,53,368
ccdb4_512_salt_pepper_0.03_bilateral_filter,9021,386,1,87
ccdb4_512_salt_pepper_0.03_non_local_means,24,20,9,27
ccdb4_512_salt_pepper_0.03_topological,24,20,9,27
ccdb4_512_salt_pepper_0.03_morphological,24,20,9,27
ccdb4_512_salt_pepper_0.05_median_filter,620,336,58,372
ccdb4_512_salt_pepper_0.05_bilateral_filter,14136,545,1,87
ccdb4_512_salt_pepper_0.05_non_local_means,32,26,13,31
ccdb4_512_salt_pepper_0.05_topological,32,26,13,31
ccdb4_512_salt_pepper_0.05_morphological,32,26,13,31
ccdb4_512_salt_pepper_0.08_median_filter,634,346,56,360
ccdb4_512_salt_pepper_0.08_bilateral_filter,20800,585,1,148
ccdb4_512_salt_pepper_0.08_non_local_means,57,36,11,32
ccdb4_512_salt_pepper_0.08_topological,57,36,11,32
ccdb4_512_salt_pepper_0.08_morphological,57,36,11,32
ccdb4_512_salt_pepper_0.10_median_filter,629,349,55,369
ccdb4_512_salt_pepper_0.10_bilateral_filter,24659,539,1,228
ccdb4_512_salt_pepper_0.10_non_local_means,79,41,18,40
ccdb4_512_salt_pepper_0.10_topological,79,41,18,40
ccdb4_512_salt_pepper_0.10_morphological,79,41,18,40
ccdb6_512_clean,3446,4443,46,1277
ccdb6_512_gaussian_0.01,3484,4509,46,1258
ccdb6_512_gaussian_0.03,3489,4540,45,1257
ccdb6_512_gaussian_0.05,3514,4511,45,1278
ccdb6_512_gaussian_0.08,3495,4506,50,1283
ccdb6_512_gaussian_0.10,3496,4529,49,1252
ccdb6_512_salt_pepper_0.01,4493,5521,20,982
ccdb6_512_salt_pepper_0.03,5350,5730,8,660
ccdb6_512_salt_pepper_0.05,6448,6368,2,530
ccdb6_512_salt_pepper_0.08,8588,4096,5,459
ccdb6_512_salt_pepper_0.10,10023,3400,2,490
ccdb6_512_gaussian_0.01_median_filter,453,377,34,1075
ccdb6_512_gaussian_0.01_bilateral_filter,170,166,25,557
ccdb6_512_gaussian_0.01_non_local_means,14,6,9,49
ccdb6_512_gaussian_0.01_topological,14,6,9,49
ccdb6_512_gaussian_0.01_morphological,14,6,9,49
ccdb6_512_gaussian_0.03_median_filter,453,369,33,1091
ccdb6_512_gaussian_0.03_bilateral_filter,170,165,26,554
ccdb6_512_gaussian_0.03_non_local_means,15,6,9,47
ccdb6_512_gaussian_0.03_topological,15,6,9,47
ccdb6_512_gaussian_0.03_morphological,15,6,9,47
ccdb6_512_gaussian_0.05_median_filter,440,375,32,1078
ccdb6_512_gaussian_0.05_bilateral_filter,166,170,24,554
ccdb6_512_gaussian_0.05_non_local_means,15,6,9,50
ccdb6_512_gaussian_0.05_topological,15,6,9,50
ccdb6_512_gaussian_0.05_morphological,15,6,9,50
ccdb6_512_gaussian_0.08_median_filter,443,370,31,1081
ccdb6_512_gaussian_0.08_bilateral_filter,171,165,25,554
ccdb6_512_gaussian_0.08_non_local_means,15,6,9,49
ccdb6_512_gaussian_0.08_topological,15,6,9,49
ccdb6_512_gaussian_0.08_morphological,15,6,9,49
ccdb6_512_gaussian_0.10_median_filter,444,359,33,1082
ccdb6_512_gaussian_0.10_bilateral_filter,170,166,26,544
ccdb6_512_gaussian_0.10_non_local_means,15,6,9,48
ccdb6_512_gaussian_0.10_topological,15,6,9,48
ccdb6_512_gaussian_0.10_morphological,15,6,9,48
ccdb6_512_salt_pepper_0.01_median_filter,447,370,34,1065
ccdb6_512_salt_pepper_0.01_bilateral_filter,1379,199,13,686
ccdb6_512_salt_pepper_0.01_non_local_means,14,7,9,46
ccdb6_512_salt_pepper_0.01_topological,14,7,9,46
ccdb6_512_salt_pepper_0.01_morphological,14,7,9,46
ccdb6_512_salt_pepper_0.03_median_filter,465,389,30,1057
ccdb6_512_salt_pepper_0.03_bilateral_filter,3697,270,6,581
ccdb6_512_salt_pepper_0.03_non_local_means,15,7,8,45
ccdb6_512_salt_pepper_0.03_topological,15,7,8,45
ccdb6_512_salt_pepper_0.03_morphological,15,7,8,45
ccdb6_512_salt_pepper_0.05_median_filter,473,392,35,1046
ccdb6_512_salt_pepper_0.05_bilateral_filter,5731,390,3,522
ccdb6_512_salt_pepper_0.05_non_local_means,17,9,8,50
ccdb6_512_salt_pepper_0.05_topological,17,9,8,50
ccdb6_512_salt_pepper_0.05_morphological,17,9,8,50
ccdb6_512_salt_pepper_0.08_median_filter,490,398,29,1057
ccdb6_512_salt_pepper_0.08_bilateral_filter,8400,334,4,472
ccdb6_512_salt_pepper_0.08_non_local_means,20,16,10,46
ccdb6_512_salt_pepper_0.08_topological,20,16,10,46
ccdb6_512_salt_pepper_0.08_morphological,20,16,10,46
ccdb6_512_salt_pepper_0.10_median_filter,508,396,31,1042
ccdb6_512_salt_pepper_0.10_bilateral_filter,9930,284,2,477
ccdb6_512_salt_pepper_0.10_non_local_means,25,22,12,62
ccdb6_512_salt_pepper_0.10_topological,25,22,12,62
ccdb6_512_salt_pepper_0.10_morphological,25,22,12,62
ccdb7_512_clean,3920,1559,11,854
ccdb7_512_gaussian_0.01,3942,1567,11,867
ccdb7_512_gaussian_0.03,3947,1581,11,871
ccdb7_512_gaussian_0.05,3954,1585,11,872
ccdb7_512_gaussian_0.08,3962,1598,11,876
ccdb7_512_gaussian_0.10,3926,1593,11,867
ccdb7_512_salt_pepper_0.01,4480,1489,7,585
ccdb7_512_salt_pepper_0.03,5897,1529,4,420
ccdb7_512_salt_pepper_0.05,7002,1102,2,388
ccdb7_512_salt_pepper_0.08,8866,713,2,439
ccdb7_512_salt_pepper_0.10,9982,600,2,540
ccdb7_512_gaussian_0.01_median_filter,1751,324,7,652
ccdb7_512_gaussian_0.01_bilateral_filter,1118,383,7,593
ccdb7_512_gaussian_0.01_non_local_means,529,79,22,391
ccdb7_512_gaussian_0.01_topological,529,79,22,391
ccdb7_512_gaussian_0.01_morphological,529,79,22,391
ccdb7_512_gaussian_0.03_median_filter,1756,321,7,652
ccdb7_512_gaussian_0.03_bilateral_filter,1112,385,7,597
ccdb7_512_gaussian_0.03_non_local_means,526,79,22,391
ccdb7_512_gaussian_0.03_topological,526,79,22,391
ccdb7_512_gaussian_0.03_morphological,526,79,22,391
ccdb7_512_gaussian_0.05_median_filter,1753,324,7,660
ccdb7_512_gaussian_0.05_bilateral_filter,1115,386,7,596
ccdb7_512_gaussian_0.05_non_local_means,529,81,22,391
ccdb7_512_gaussian_0.05_topological,529,81,22,391
ccdb7_512_gaussian_0.05_morphological,529,81,22,391
ccdb7_512_gaussian_0.08_median_filter,1759,324,7,656
ccdb7_512_gaussian_0.08_bilateral_filter,1121,382,7,596
ccdb7_512_gaussian_0.08_non_local_means,527,79,22,386
ccdb7_512_gaussian_0.08_topological,527,79,22,386
ccdb7_512_gaussian_0.08_morphological,527,79,22,386
ccdb7_512_gaussian_0.10_median_filter,1754,321,7,656
ccdb7_512_gaussian_0.10_bilateral_filter,1119,387,7,594
ccdb7_512_gaussian_0.10_non_local_means,529,77,22,391
ccdb7_512_gaussian_0.10_topological,529,77,22,391
ccdb7_512_gaussian_0.10_morphological,529,77,22,391
ccdb7_512_salt_pepper_0.01_median_filter,1754,326,7,653
ccdb7_512_salt_pepper_0.01_bilateral_filter,2209,407,7,480
ccdb7_512_salt_pepper_0.01_non_local_means,527,80,24,396
ccdb7_512_salt_pepper_0.01_topological,527,80,24,396
ccdb7_512_salt_pepper_0.01_morphological,527,80,24,396
ccdb7_512_salt_pepper_0.03_median_filter,1756,322,6,664
ccdb7_512_salt_pepper_0.03_bilateral_filter,4271,459,4,345
ccdb7_512_salt_pepper_0.03_non_local_means,551,85,28,385
ccdb7_512_salt_pepper_0.03_topological,551,85,28,385
ccdb7_512_salt_pepper_0.03_morphological,551,85,28,385
ccdb7_512_salt_pepper_0.05_median_filter,1785,339,7,680
ccdb7_512_salt_pepper_0.05_bilateral_filter,6116,484,4,312
ccdb7_512_salt_pepper_0.05_non_local_means,561,88,50,415
ccdb7_512_salt_pepper_0.05_topological,561,88,50,415
ccdb7_512_salt_pepper_0.05_morphological,561,88,50,415
ccdb7_512_salt_pepper_0.08_median_filter,1781,353,7,641
ccdb7_512_salt_pepper_0.08_bilateral_filter,8364,225,4,394
ccdb7_512_salt_pepper_0.08_non_local_means,593,135,29,404
ccdb7_512_salt_pepper_0.08_topological,593,135,29,404
ccdb7_512_salt_pepper_0.08_morphological,593,135,29,404
ccdb7_512_salt_pepper_0.10_median_filter,1791,338,7,683
ccdb7_512_salt_pepper_0.10_bilateral_filter,9628,62,3,510
ccdb7_512_salt_pepper_0.10_non_local_means,643,216,32,457
ccdb7_512_salt_pepper_0.10_topological,643,216,32,457
ccdb7_512_salt_pepper_0.10_morphological,643,216,32,457
A_disk_clean,1,0,1,1
A_disk_gaussian_0.01,1,0,1,1
A_disk_gaussian_0.03,1,0,1,1
A_disk_gaussian_0.05,1,0,1,1
A_disk_gaussian_0.08,1,0,1,1
A_disk_gaussian_0.10,1,0,1,1
A_disk_salt_pepper_0.01,910,340,1,1
A_disk_salt_pepper_0.03,2630,982,1,1
A_disk_salt_pepper_0.05,4167,1669,1,1
A_disk_salt_pepper_0.08,6101,2527,1,1
A_disk_salt_pepper_0.10,7181,3136,1,1
A_disk_gaussian_0.01_median_filter,1,0,1,1
A_disk_gaussian_0.01_bilateral_filter,1,0,1,1
A_disk_gaussian_0.01_non_local_means,1,0,1,1
A_disk_gaussian_0.01_topological,1,0,1,1
A_disk_gaussian_0.01_morphological,1,0,1,1
A_disk_gaussian_0.03_median_filter,1,0,1,1
A_disk_gaussian_0.03_bilateral_filter,1,0,1,1
A_disk_gaussian_0.03_non_local_means,1,0,1,1
A_disk_gaussian_0.03_topological,1,0,1,1
A_disk_gaussian_0.03_morphological,1,0,1,1
A_disk_gaussian_0.05_median_filter,1,0,1,1
A_disk_gaussian_0.05_bilateral_filter,1,0,1,1
A_disk_gaussian_0.05_non_local_means,1,0,1,1
A_disk_gaussian_0.05_topological,1,0,1,1
A_disk_gaussian_0.05_morphological,1,0,1,1
A_disk_gaussian_0.08_median_filter,1,0,1,1
A_disk_gaussian_0.08_bilateral_filter,1,0,1,1
A_disk_gaussian_0.08_non_local_means,1,0,1,1
A_disk_gaussian_0.08_topological,1,0,1,1
A_disk_gaussian_0.08_morphological,1,0,1,1
