noise_type,unweighted_impact,weighted_h0,weighted_h1,weighted_total
gaussian,5643.171428571429,7690.3870948625945,11115.699008752024,18806.08610361462
salt_pepper,-1490.2,34.40843835190318,9625.626185643545,9660.034623995449
