noise_type,noise_level,bilateral_filter,median_filter,non_local_means
gaussian,0.05,-1.0515319638131968,-0.17683594881541928,-5.55279490596196
gaussian,0.1,0.44257637724403887,-0.42845068418091337,-1.6627513080911034
salt_pepper,0.05,-0.16481406225476766,-1.3024752350535074,-1.3080567203080133
salt_pepper,0.1,0.053799103880337894,-0.5222392984409788,-3.6357381031670295
